itemid,total_events,unique_visitors,first_seen,last_seen,n_addtocart,n_transaction,n_view,view_to_cart,cart_to_purchase
124,9,6,2015-06-15 15:08:25.452,2015-07-18 22:26:59.904,0,0,9,0.0,0.0
125,1,1,2015-08-28 20:37:33.702,2015-08-28 20:37:33.702,0,0,1,0.0,0.0
128,4,2,2015-07-03 19:57:36.623,2015-07-27 03:22:07.941,0,0,4,0.0,0.0
130,1,1,2015-07-08 18:51:58.181,2015-07-08 18:51:58.181,0,0,1,0.0,0.0
133,10,10,2015-05-11 21:25:31.885,2015-09-14 02:23:12.247,0,0,10,0.0,0.0
134,10,8,2015-05-14 19:33:24.822,2015-09-07 12:24:38.725,0,0,10,0.0,0.0
135,33,32,2015-05-03 20:33:42.709,2015-09-12 22:03:47.123,0,0,33,0.0,0.0
136,1,1,2015-05-07 21:54:56.916,2015-05-07 21:54:56.916,0,0,1,0.0,0.0
137,2,2,2015-05-07 15:34:22.180,2015-06-19 01:05:54.887,0,0,2,0.0,0.0
138,2,2,2015-05-05 22:11:21.989,2015-05-22 15:29:07.340,0,0,2,0.0,0.0
139,1,1,2015-06-20 21:34:10.543,2015-06-20 21:34:10.543,0,0,1,0.0,0.0
142,10,9,2015-05-10 18:01:34.518,2015-09-01 01:38:20.608,0,0,10,0.0,0.0
143,1,1,2015-05-27 23:13:29.881,2015-05-27 23:13:29.881,0,0,1,0.0,0.0
144,2,2,2015-05-28 00:22:03.978,2015-08-23 18:32:28.560,0,0,2,0.0,0.0
147,98,68,2015-05-05 04:36:59.245,2015-09-17 20:57:25.827,5,4,89,0.056179775280898875,0.8
151,9,7,2015-05-11 23:20:45.070,2015-09-05 02:19:55.283,0,0,9,0.0,0.0
152,1,1,2015-07-10 23:48:30.069,2015-07-10 23:48:30.069,0,0,1,0.0,0.0
153,1,1,2015-07-24 17:19:11.016,2015-07-24 17:19:11.016,0,0,1,0.0,0.0
154,5,4,2015-05-05 13:17:44.471,2015-09-15 23:49:31.711,0,0,5,0.0,0.0
155,7,7,2015-07-08 18:50:32.636,2015-09-02 22:07:01.849,0,0,7,0.0,0.0
160,2,2,2015-05-17 17:17:33.838,2015-05-17 17:21:37.627,0,0,2,0.0,0.0
162,1,1,2015-07-21 20:25:45.819,2015-07-21 20:25:45.819,0,0,1,0.0,0.0
163,21,15,2015-05-06 16:28:14.472,2015-08-19 22:50:52.216,0,0,21,0.0,0.0
165,3,3,2015-05-20 15:31:03.923,2015-07-19 19:18:50.171,0,0,3,0.0,0.0
168,20,16,2015-05-11 21:47:15.085,2015-09-17 19:25:43.936,1,1,18,0.05555555555555555,1.0
169,1,1,2015-05-04 19:51:39.688,2015-05-04 19:51:39.688,0,0,1,0.0,0.0
170,1,1,2015-07-12 23:29:03.812,2015-07-12 23:29:03.812,0,0,1,0.0,0.0
173,1,1,2015-06-08 04:54:48.616,2015-06-08 04:54:48.616,0,0,1,0.0,0.0
174,11,11,2015-05-18 01:11:20.198,2015-09-03 06:24:57.451,0,0,11,0.0,0.0
175,7,4,2015-05-25 21:50:43.007,2015-08-25 04:54:00.359,0,0,7,0.0,0.0
181,3,3,2015-05-19 09:14:38.708,2015-07-19 22:31:09.676,0,0,3,0.0,0.0
185,1,1,2015-05-20 18:59:27.839,2015-05-20 18:59:27.839,0,0,1,0.0,0.0
189,1,1,2015-07-02 18:18:05.567,2015-07-02 18:18:05.567,0,0,1,0.0,0.0
190,11,9,2015-06-02 05:30:58.116,2015-08-28 00:14:29.125,0,0,11,0.0,0.0
193,2,2,2015-05-14 19:29:04.066,2015-07-27 16:36:10.786,0,0,2,0.0,0.0
195,9,8,2015-05-07 02:53:45.222,2015-09-16 15:42:52.949,0,0,9,0.0,0.0
199,33,23,2015-06-17 02:31:04.680,2015-08-27 17:51:13.306,2,1,30,0.06666666666666667,0.5
201,1,1,2015-09-16 15:46:01.630,2015-09-16 15:46:01.630,0,0,1,0.0,0.0
204,5,5,2015-05-11 11:54:07.525,2015-09-14 19:53:40.924,0,0,5,0.0,0.0
207,1,1,2015-05-06 17:10:03.870,2015-05-06 17:10:03.870,0,0,1,0.0,0.0
208,7,6,2015-05-08 04:45:42.384,2015-08-04 16:22:11.415,0,0,7,0.0,0.0
210,1,1,2015-05-13 18:59:23.161,2015-05-13 18:59:23.161,0,0,1,0.0,0.0
211,15,13,2015-06-28 23:19:00.491,2015-09-16 19:54:57.249,0,0,15,0.0,0.0
212,4,3,2015-05-21 17:46:15.251,2015-06-17 21:31:20.240,1,1,2,0.5,1.0
216,13,8,2015-06-11 03:32:13.035,2015-09-09 04:35:15.641,1,0,12,0.08333333333333333,0.0
217,6,5,2015-05-27 19:07:47.275,2015-07-15 16:34:47.721,0,0,6,0.0,0.0
218,4,4,2015-07-16 20:12:40.430,2015-09-14 19:10:31.322,0,0,4,0.0,0.0
219,1,1,2015-07-02 14:34:07.796,2015-07-02 14:34:07.796,0,0,1,0.0,0.0
221,1,1,2015-06-22 22:56:14.996,2015-06-22 22:56:14.996,0,0,1,0.0,0.0
225,1,1,2015-05-27 04:08:35.200,2015-05-27 04:08:35.200,0,0,1,0.0,0.0
227,3,3,2015-06-08 17:31:32.972,2015-07-07 22:14:58.667,0,0,3,0.0,0.0
228,3,2,2015-05-06 18:26:15.797,2015-07-28 03:09:02.528,0,0,3,0.0,0.0
229,2,2,2015-06-10 00:52:23.507,2015-07-08 15:50:31.120,0,0,2,0.0,0.0
231,3,2,2015-05-20 00:27:34.597,2015-09-17 22:14:24.571,0,0,3,0.0,0.0
232,2,2,2015-05-04 09:41:08.118,2015-06-13 04:49:03.564,0,0,2,0.0,0.0
233,9,7,2015-05-05 09:57:55.425,2015-08-07 08:05:17.732,1,1,7,0.14285714285714285,1.0
234,4,4,2015-05-13 20:39:40.448,2015-06-09 21:06:35.358,0,0,4,0.0,0.0
235,2,2,2015-08-16 23:49:31.035,2015-08-18 15:30:21.218,0,0,2,0.0,0.0
238,4,3,2015-05-20 01:45:32.106,2015-08-28 09:16:04.250,0,0,4,0.0,0.0
239,4,4,2015-05-11 19:28:24.459,2015-07-02 04:12:52.123,0,0,4,0.0,0.0
241,2,2,2015-05-17 01:57:12.865,2015-06-08 23:37:24.336,0,0,2,0.0,0.0
243,1,1,2015-09-01 15:17:07.133,2015-09-01 15:17:07.133,0,0,1,0.0,0.0
244,9,8,2015-05-18 19:44:37.971,2015-09-07 22:07:18.015,0,0,9,0.0,0.0
246,3,3,2015-05-12 03:37:41.550,2015-07-02 20:57:58.556,0,0,3,0.0,0.0
247,9,8,2015-05-07 17:57:44.959,2015-09-17 16:38:06.410,0,0,9,0.0,0.0
250,74,57,2015-05-07 22:09:26.668,2015-09-02 03:50:48.704,1,0,73,0.0136986301369863,0.0
251,5,5,2015-05-14 20:15:38.206,2015-09-06 13:45:23.218,0,0,5,0.0,0.0
252,4,4,2015-06-25 04:07:27.748,2015-09-14 16:52:58.093,0,0,4,0.0,0.0
256,1,1,2015-07-30 03:34:44.810,2015-07-30 03:34:44.810,0,0,1,0.0,0.0
257,18,12,2015-05-06 09:38:26.767,2015-08-25 20:01:18.911,1,0,17,0.058823529411764705,0.0
259,3,2,2015-05-22 05:57:55.876,2015-06-28 00:46:27.360,0,0,3,0.0,0.0
260,1,1,2015-08-12 21:05:11.268,2015-08-12 21:05:11.268,0,0,1,0.0,0.0
261,12,11,2015-06-01 13:50:49.256,2015-08-30 18:25:16.305,0,0,12,0.0,0.0
263,3,3,2015-07-28 23:33:58.710,2015-07-29 00:54:59.991,0,0,3,0.0,0.0
269,1,1,2015-07-26 13:10:04.996,2015-07-26 13:10:04.996,0,0,1,0.0,0.0
274,51,48,2015-05-13 03:28:09.162,2015-09-15 17:16:44.957,0,0,51,0.0,0.0
276,4,4,2015-05-27 21:56:17.529,2015-09-12 04:22:22.420,0,0,4,0.0,0.0
278,1,1,2015-05-24 19:02:01.462,2015-05-24 19:02:01.462,0,0,1,0.0,0.0
282,23,23,2015-05-09 19:47:20.479,2015-09-15 15:08:16.817,0,0,23,0.0,0.0
284,2,2,2015-07-13 13:54:59.894,2015-07-21 06:27:56.722,0,0,2,0.0,0.0
289,1,1,2015-07-20 07:00:20.533,2015-07-20 07:00:20.533,0,0,1,0.0,0.0
291,28,23,2015-05-06 18:50:15.508,2015-09-11 15:48:31.908,0,0,28,0.0,0.0
292,2,2,2015-05-21 17:43:37.866,2015-06-13 02:19:27.240,0,0,2,0.0,0.0
295,1,1,2015-05-11 14:08:03.304,2015-05-11 14:08:03.304,0,0,1,0.0,0.0
299,1,1,2015-06-21 15:35:17.665,2015-06-21 15:35:17.665,0,0,1,0.0,0.0
300,2,2,2015-06-13 04:13:12.626,2015-07-10 16:26:16.817,0,0,2,0.0,0.0
301,2,1,2015-09-16 20:39:28.483,2015-09-16 20:39:48.153,0,0,2,0.0,0.0
302,3,3,2015-07-10 14:29:12.482,2015-08-04 13:43:43.609,0,0,3,0.0,0.0
303,3,3,2015-05-05 19:15:13.756,2015-06-15 20:11:09.024,0,0,3,0.0,0.0
304,11,5,2015-06-28 01:27:51.717,2015-09-17 15:29:37.551,1,1,9,0.1111111111111111,1.0
305,23,21,2015-05-12 01:22:41.943,2015-08-09 21:17:38.844,0,0,23,0.0,0.0
307,2,2,2015-05-05 17:57:13.832,2015-05-26 23:45:49.856,0,0,2,0.0,0.0
311,1,1,2015-06-24 18:05:39.759,2015-06-24 18:05:39.759,0,0,1,0.0,0.0
312,7,7,2015-07-29 23:17:42.607,2015-08-28 18:58:41.670,0,0,7,0.0,0.0
313,10,8,2015-05-18 22:29:10.017,2015-09-05 19:34:19.422,0,0,10,0.0,0.0
314,2,2,2015-05-12 20:05:13.822,2015-07-25 02:31:22.481,0,0,2,0.0,0.0
315,63,54,2015-05-06 05:28:56.266,2015-09-12 16:46:38.082,5,0,58,0.08620689655172414,0.0
316,3,3,2015-05-22 07:36:18.043,2015-08-06 20:02:55.881,0,0,3,0.0,0.0
317,4,4,2015-05-15 18:31:15.679,2015-09-07 05:55:37.593,0,0,4,0.0,0.0
318,2,2,2015-05-12 10:15:11.924,2015-09-06 18:24:55.871,0,0,2,0.0,0.0
320,47,32,2015-06-14 08:40:41.295,2015-09-17 00:23:11.930,1,1,45,0.022222222222222223,1.0
321,9,9,2015-05-07 23:30:41.406,2015-08-31 05:27:06.236,0,0,9,0.0,0.0
322,1,1,2015-07-11 16:11:17.458,2015-07-11 16:11:17.458,0,0,1,0.0,0.0
324,13,11,2015-05-18 03:25:47.128,2015-08-15 02:55:31.124,0,0,13,0.0,0.0
325,1,1,2015-09-13 01:43:57.403,2015-09-13 01:43:57.403,0,0,1,0.0,0.0
326,1,1,2015-06-17 13:25:14.696,2015-06-17 13:25:14.696,0,0,1,0.0,0.0
329,2,2,2015-07-02 17:21:23.642,2015-08-16 22:02:51.548,0,0,2,0.0,0.0
333,16,13,2015-05-21 19:47:32.003,2015-09-14 17:08:01.509,0,0,16,0.0,0.0
334,8,7,2015-05-08 17:02:38.959,2015-07-30 00:28:25.729,0,0,8,0.0,0.0
337,6,4,2015-06-05 13:47:06.029,2015-09-11 20:22:52.547,0,0,6,0.0,0.0
338,2,2,2015-06-11 18:48:50.430,2015-07-09 18:36:55.797,0,0,2,0.0,0.0
339,1,1,2015-05-05 17:33:18.376,2015-05-05 17:33:18.376,0,0,1,0.0,0.0
340,1,1,2015-09-09 05:52:48.152,2015-09-09 05:52:48.152,0,0,1,0.0,0.0
342,67,57,2015-05-19 17:51:17.825,2015-09-02 22:18:22.588,2,0,65,0.03076923076923077,0.0
343,6,6,2015-07-01 06:32:57.598,2015-08-28 18:16:32.470,0,0,6,0.0,0.0
348,13,9,2015-05-27 07:30:38.320,2015-07-21 21:34:32.543,0,0,13,0.0,0.0
349,1,1,2015-07-17 20:25:45.300,2015-07-17 20:25:45.300,0,0,1,0.0,0.0
350,26,19,2015-05-22 02:09:33.498,2015-09-11 01:09:48.623,2,0,24,0.08333333333333333,0.0
352,9,9,2015-05-03 20:57:29.093,2015-09-06 00:12:31.524,0,0,9,0.0,0.0
354,7,7,2015-06-18 17:25:21.250,2015-09-11 03:02:26.041,0,0,7,0.0,0.0
361,25,18,2015-05-03 23:04:10.789,2015-06-09 18:40:26.408,2,0,23,0.08695652173913043,0.0
362,1,1,2015-08-28 17:54:01.007,2015-08-28 17:54:01.007,0,0,1,0.0,0.0
363,29,24,2015-05-11 04:53:18.576,2015-07-27 05:42:21.522,0,0,29,0.0,0.0
364,1,1,2015-07-11 15:38:10.490,2015-07-11 15:38:10.490,0,0,1,0.0,0.0
367,2,2,2015-06-08 05:19:24.925,2015-06-10 03:55:17.233,0,0,2,0.0,0.0
369,1,1,2015-08-11 05:13:09.053,2015-08-11 05:13:09.053,0,0,1,0.0,0.0
371,37,30,2015-06-02 14:54:41.002,2015-09-16 15:03:04.991,5,0,32,0.15625,0.0
374,2,2,2015-05-26 21:36:48.791,2015-07-14 20:12:48.605,0,0,2,0.0,0.0
375,8,7,2015-06-09 15:08:01.808,2015-08-18 21:19:57.737,0,0,8,0.0,0.0
376,51,29,2015-05-06 18:09:34.592,2015-09-15 02:25:03.218,4,0,47,0.0851063829787234,0.0
377,19,16,2015-05-16 02:23:18.109,2015-09-14 15:33:43.151,0,0,19,0.0,0.0
378,2,1,2015-07-16 07:18:04.975,2015-07-17 06:54:06.233,0,0,2,0.0,0.0
379,2,2,2015-06-30 00:36:25.511,2015-07-07 04:32:19.322,0,0,2,0.0,0.0
381,22,16,2015-05-03 03:36:59.480,2015-09-17 20:32:38.483,2,0,20,0.1,0.0
382,1,1,2015-09-01 09:56:40.577,2015-09-01 09:56:40.577,0,0,1,0.0,0.0
383,5,3,2015-06-08 00:10:58.311,2015-07-08 05:54:32.964,0,0,5,0.0,0.0
384,6,6,2015-08-27 20:28:12.847,2015-09-08 04:22:56.031,0,0,6,0.0,0.0
386,1,1,2015-09-09 00:01:45.827,2015-09-09 00:01:45.827,0,0,1,0.0,0.0
387,15,8,2015-07-18 20:18:55.687,2015-08-31 21:38:46.525,3,1,11,0.2727272727272727,0.3333333333333333
388,9,7,2015-07-25 16:36:45.457,2015-08-17 22:27:17.339,0,0,9,0.0,0.0
391,17,16,2015-05-20 05:31:41.675,2015-09-04 00:56:18.242,0,0,17,0.0,0.0
393,1,1,2015-08-29 01:49:03.922,2015-08-29 01:49:03.922,0,0,1,0.0,0.0
394,1,1,2015-09-05 19:25:49.256,2015-09-05 19:25:49.256,0,0,1,0.0,0.0
396,4,4,2015-05-10 05:06:13.703,2015-07-26 18:10:04.576,0,0,4,0.0,0.0
402,1,1,2015-07-07 20:38:42.401,2015-07-07 20:38:42.401,0,0,1,0.0,0.0
403,132,110,2015-05-20 22:06:13.152,2015-09-09 03:26:16.276,3,1,128,0.0234375,0.3333333333333333
404,1,1,2015-06-23 22:02:50.664,2015-06-23 22:02:50.664,0,0,1,0.0,0.0
405,2,2,2015-05-18 18:41:11.990,2015-08-12 19:13:41.981,0,0,2,0.0,0.0
406,2,2,2015-06-27 23:27:58.919,2015-09-14 20:30:38.120,0,0,2,0.0,0.0
407,5,4,2015-07-13 15:42:55.819,2015-07-29 00:48:34.383,0,0,5,0.0,0.0
409,1,1,2015-05-28 19:09:30.536,2015-05-28 19:09:30.536,0,0,1,0.0,0.0
410,2,2,2015-05-26 19:07:20.369,2015-09-10 17:13:24.064,0,0,2,0.0,0.0
411,1,1,2015-06-19 00:40:02.528,2015-06-19 00:40:02.528,0,0,1,0.0,0.0
412,21,18,2015-05-14 05:52:27.624,2015-09-10 20:21:17.980,0,0,21,0.0,0.0
415,4,2,2015-05-14 16:20:13.056,2015-06-04 18:30:23.310,0,0,4,0.0,0.0
416,2,1,2015-06-16 16:25:08.084,2015-06-16 16:32:56.009,0,0,2,0.0,0.0
417,10,9,2015-05-19 21:15:10.012,2015-08-18 16:45:19.049,0,0,10,0.0,0.0
420,2,2,2015-06-30 03:58:59.604,2015-07-07 19:04:48.695,0,0,2,0.0,0.0
425,1,1,2015-09-02 19:47:26.636,2015-09-02 19:47:26.636,0,0,1,0.0,0.0
427,1,1,2015-05-14 15:42:36.980,2015-05-14 15:42:36.980,0,0,1,0.0,0.0
428,9,7,2015-05-07 00:32:05.277,2015-07-16 22:46:24.614,0,0,9,0.0,0.0
433,8,5,2015-05-18 21:52:55.545,2015-08-30 17:07:45.575,0,0,8,0.0,0.0
434,1,1,2015-09-02 18:29:14.690,2015-09-02 18:29:14.690,0,0,1,0.0,0.0
437,3,3,2015-06-03 11:54:12.367,2015-06-28 21:45:25.724,0,0,3,0.0,0.0
441,8,7,2015-05-07 02:50:50.684,2015-09-14 14:46:25.061,0,0,8,0.0,0.0
442,3,2,2015-05-14 20:45:52.033,2015-08-29 03:32:48.030,0,0,3,0.0,0.0
447,4,4,2015-05-11 16:48:31.796,2015-07-22 15:48:56.955,0,0,4,0.0,0.0
448,1,1,2015-08-27 22:59:22.802,2015-08-27 22:59:22.802,0,0,1,0.0,0.0
449,8,8,2015-05-13 15:52:31.236,2015-09-04 02:53:46.728,0,0,8,0.0,0.0
452,11,9,2015-05-13 04:12:08.664,2015-09-06 08:58:42.541,1,0,10,0.1,0.0
456,20,15,2015-05-06 01:46:02.488,2015-08-14 17:43:03.214,4,0,16,0.25,0.0
458,7,7,2015-06-23 18:24:29.441,2015-08-30 14:30:00.095,0,0,7,0.0,0.0
460,3,2,2015-07-04 21:28:56.885,2015-08-04 21:02:10.134,0,0,3,0.0,0.0
461,3,2,2015-06-30 16:38:27.445,2015-07-17 13:37:51.118,0,0,3,0.0,0.0
463,3,3,2015-06-20 21:56:06.894,2015-06-24 14:49:54.016,0,0,3,0.0,0.0
464,3,2,2015-08-06 14:29:21.000,2015-09-08 23:22:51.255,0,0,3,0.0,0.0
465,20,17,2015-05-22 00:16:24.115,2015-09-09 18:10:52.751,1,0,19,0.05263157894736842,0.0
466,11,11,2015-05-07 06:57:17.369,2015-06-27 19:33:52.091,1,0,10,0.1,0.0
470,1,1,2015-05-24 15:43:43.894,2015-05-24 15:43:43.894,0,0,1,0.0,0.0
474,3,1,2015-05-22 01:01:18.908,2015-05-22 01:02:41.464,0,0,3,0.0,0.0
476,1,1,2015-06-01 03:40:01.989,2015-06-01 03:40:01.989,0,0,1,0.0,0.0
477,1,1,2015-05-31 02:46:49.029,2015-05-31 02:46:49.029,0,0,1,0.0,0.0
479,1,1,2015-09-11 21:01:30.990,2015-09-11 21:01:30.990,0,0,1,0.0,0.0
480,4,4,2015-06-30 21:28:20.073,2015-07-14 20:36:53.167,0,0,4,0.0,0.0
481,13,10,2015-05-06 20:26:12.502,2015-07-17 10:39:08.909,0,0,13,0.0,0.0
482,2,2,2015-05-09 19:25:23.491,2015-06-08 18:15:21.852,0,0,2,0.0,0.0
484,1,1,2015-05-08 02:28:27.926,2015-05-08 02:28:27.926,0,0,1,0.0,0.0
485,20,13,2015-05-05 04:12:54.211,2015-08-18 21:55:14.046,1,0,19,0.05263157894736842,0.0
487,1,1,2015-08-04 03:17:26.114,2015-08-04 03:17:26.114,0,0,1,0.0,0.0
490,18,17,2015-05-03 15:59:40.436,2015-09-01 04:26:35.637,0,0,18,0.0,0.0
492,3,2,2015-05-27 21:06:20.749,2015-08-21 09:23:32.823,0,0,3,0.0,0.0
493,3,3,2015-05-13 15:02:35.270,2015-07-29 19:35:51.262,0,0,3,0.0,0.0
494,3,3,2015-07-20 20:27:15.794,2015-09-07 15:21:25.495,0,0,3,0.0,0.0
495,1,1,2015-06-04 21:01:36.827,2015-06-04 21:01:36.827,0,0,1,0.0,0.0
496,131,98,2015-05-03 21:35:01.402,2015-09-15 11:28:21.575,5,2,124,0.04032258064516129,0.4
498,6,6,2015-05-08 00:10:04.772,2015-08-15 20:03:56.205,0,0,6,0.0,0.0
499,1,1,2015-05-14 23:41:55.136,2015-05-14 23:41:55.136,0,0,1,0.0,0.0
502,7,4,2015-05-19 21:42:52.188,2015-09-10 00:04:01.367,1,0,6,0.16666666666666666,0.0
504,1,1,2015-06-04 04:00:55.395,2015-06-04 04:00:55.395,0,0,1,0.0,0.0
506,17,14,2015-06-11 16:17:46.091,2015-09-01 02:10:54.359,0,0,17,0.0,0.0
508,4,1,2015-08-04 14:32:14.426,2015-08-04 14:39:26.470,0,0,4,0.0,0.0
510,9,5,2015-05-05 05:36:11.738,2015-07-21 18:47:56.302,0,0,9,0.0,0.0
511,2,2,2015-05-14 18:23:44.677,2015-08-24 04:57:51.161,0,0,2,0.0,0.0
512,1,1,2015-08-13 03:28:56.045,2015-08-13 03:28:56.045,0,0,1,0.0,0.0
513,1,1,2015-08-10 13:22:43.462,2015-08-10 13:22:43.462,0,0,1,0.0,0.0
516,8,8,2015-05-14 01:21:26.092,2015-08-27 20:21:09.868,0,0,8,0.0,0.0
517,4,4,2015-05-12 21:14:13.058,2015-09-11 17:28:29.766,0,0,4,0.0,0.0
519,7,7,2015-05-25 00:33:19.206,2015-08-26 22:58:07.320,0,0,7,0.0,0.0
523,1,1,2015-08-13 18:13:01.778,2015-08-13 18:13:01.778,0,0,1,0.0,0.0
525,3,3,2015-05-23 17:03:16.926,2015-06-29 16:00:18.305,0,0,3,0.0,0.0
534,97,82,2015-05-04 22:30:45.036,2015-09-14 19:19:56.629,0,0,97,0.0,0.0
535,2,2,2015-07-28 12:44:05.045,2015-09-15 14:41:25.751,0,0,2,0.0,0.0
536,3,3,2015-05-06 03:39:38.769,2015-09-11 20:55:00.776,0,0,3,0.0,0.0
538,1,1,2015-05-05 19:51:05.559,2015-05-05 19:51:05.559,0,0,1,0.0,0.0
541,5,4,2015-06-02 15:52:19.350,2015-07-31 21:28:54.387,0,0,5,0.0,0.0
542,2,1,2015-05-20 01:45:29.769,2015-05-20 01:46:34.198,1,0,1,1.0,0.0
545,13,9,2015-06-23 22:45:11.191,2015-09-17 20:22:19.949,0,0,13,0.0,0.0
